,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
0,KTH Royal Institute Of Technology,Applied And Computational Mathematics,MS,Fall 2022,Accepted,,07-04-2022,1649260800,3.81,,,,International,14-04-2022,1649865600,"Undergrad in electronics engineering from top engineering university in Spain, top of my class with honours in most courses. Had a research internship at my university as well as one internship at a private company, although unrelated to the masters. Doing my bachelor thesis in deep learning, and I applied for the specialization of Mathematics of Data Science."
1,University Of Washington Bothell,Computer Science And Software Engineering,MS,Fall 2022,Accepted,,04-04-2022,1649001600,3.72,,,,American,04-04-2022,1649001600,"GRE not required. 3.72 overall, 3.74 major (CS), 3.5 minor (Mathematics), 1 year of research experience, lots of community outreach, no publications"
2,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Rejected,,15-03-2022,1647273600,,,,,International,16-03-2022,1647360000,
3,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",MS,Fall 2022,Rejected,,15-03-2022,1647273600,,,,,International,15-03-2022,1647273600,
4,Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",MS,Fall 2022,Rejected,,15-03-2022,1647273600,,,,,International,15-03-2022,1647273600,
5,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Wait listed,,,,3.99,163.0,170.0,4.5,International,10-03-2022,1646841600,Thought I was rejected. Surprised to hear that I'm not. Will withdraw the application.
6,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Rejected,,10-03-2022,1646841600,,,,,American,10-03-2022,1646841600,No hard feelings
7,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,07-02-2022,1644163200,3.97,,,,International,07-02-2022,1644163200,
8,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,04-02-2022,1643904000,3.89,161.0,169.0,,International,04-02-2022,1643904000,Received unofficial acceptance from POI.
9,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,31-01-2022,1643558400,3.75,167.0,170.0,5.0,American,31-01-2022,1643558400,Accepted with CSEM Fellowship!
10,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,31-01-2022,1643558400,,,,,American,31-01-2022,1643558400,"Email and attachment says recommended for admission, official letter to come in MyStatus portal soon."
